Fact Checked Claim Index,Podcast Claim Index,Fact Checked Claim,Podcast Claim,Stance Agreement,
15673,13337,"""When the national debt reaches $15 trillion, it means that U.S. debt-to-GDP ratio will reach 99.7 percent of our debt and this is $47,900 for every living American."""," The next day it crashed peace and safety. Is what they were giving in 2008. Debt was at 14 trillion dollars. I can't even figure out what that is. And there were there were warning signs and there were some men out there honest hearted economists who began to give a warning but the majority were saying peace and safety
",5,
15508,2494200,"Says America spends ""over 17 percent of its GDP on health care costs when our closest competitor nations are spending about 12."""," We are getting sicker we spend more than we spend on Military. We spend more on anything. It's 18% of our GDP on Healthcare yet. We're getting sicker and do we really think that more drugs and more tests and more that's going. That's gonna how we're going to get there
",2,
912,3078202,"“If I don’t take the vaccine, I’m at risk for covid. If I do take the vaccine, I’m still at risk for covid PLUS I’m at risk for permanent vaccine side effects. Therefore I’m reducing my risk by not taking the vaccine. That’s the real science.”"," This is extremely uncommon and. In very very few percent of the populations this can happen, right? So there's risk and giving vaccines. There's risk in not giving vaccines. So this individual about 2 million dollars in coverage because of medical bills and everything that's there. It's going to impact his entire life because this child did not incur brain damage or anaphylactic shock
",5,
18351,4160261,"""Law enforcement in the state of Arizona supports"" the state's new immigration law."," People would like the Harvest things. What what do they do towards the environment? That's like okay that's looks like about this thing about this. Um, this is a foreign concept to Arizona people. But yeah and Texas and basically literally everywhere else. There's these things called these things called trees and in the fall these trees drop like a lot of acorns or some variety of nut and the squirrels
",5,
7041,10930884,"""Nobody dies because they don’t have access to health care."""," But something interesting to note is that black women and Hispanic women tend and Indigenous women that much higher rates from Eternal death. And at first everyone says, well, that's they're poor. They don't have access to health care. A lot of those things are true. However, the glaring piece is that for someone like me who's University educated and lives at a higher spectrum of the socio-economic spectrum married getting married
",3,
6531,4418566,"""White men have committed more mass shootings than any other group."""," Actually, I need to talk about caring for other people today. And the reason why I need to talk about caring for other people is because we are in kind of a really grave State and I could say that is happening globally, but I'm really focused on being here in the US at this time. What we've seen in the last week are multiple mass shootings and acts of violence from Individual white. Supremacists white men young men. They're not acting alone
",2,
12745,5937205,"Farming is ""one of the fastest growing areas of our economy."""," Yeah and so it is surprising to be one. That's that is how we were built were built on top that industry, but what that has created and. And agriculture largely is a wealth extracting industry. It is created a situation of just abject poverty one in four of our people live in poverty for of 10 of the poorest ZIP codes in the state of California are located in our County and on and on the demographics and the socioeconomics of our place our kind of astounding they create studies around where we live because of the survival of the people there and how we sort of get by so your nourishing a quarter of the world. And you're malnourished Mmm Yeah, and where you are? Yeah
",5,
1152,2527825,"""If we kept (the minimum wage) indexed to inflation, people would be making $20 an hour right now.”"," I know the government needs to generate a text revenue and everything like that, but I'm not convinced how much money they actually make off the people making the minimum wage. Anyway, although I could be wrong and now I know it's a lot more complicated than there and a lot of smart people have different views with me, but I believe in the long run that. That will serve people in society better than the minimum wage increase which will be inflationary. So if you gave people these sort of tax breaks and incentives, then they will actually have more money back in their pocket and their back pocket, but I won't be in as flattened as an inflationary environment so that actually and relative terms have more spending power which has to be good. Whereas I think increase the minimum wage will increase inflation and it won't actually increase people spending power and well, you know, we could talk about this for a while but there
",5,
10963,7365480,"Women still do not get paid as much as men, even ""for the same work, period."""," So while the winners of the women World Cup took home four million. Wes dollars, and this is when it has doubled compared to the last time the men took home 38 million dollars last year US Dollars last year. So there is clearly a huge gender pay Gap in the workplace. I have observed that women are often not considered for roles that are considered more challenging so roles that might involve a lot of strategic decision-making or might require a lot of traveling or traveling to difficult locations. Changing base locations many times women are just not considered for jobs, which might require them to change cities
",1,
4860,5146257,"Says there’s ""never (been) so many apprehensions ever in our history."""," We for living and you're sorry for existing and you're sorry for being in this way. We don't have to be sorry for anything. We don't have to live with apprehension. We have to live with this sense of I don't know if I belong in security. Is that feeling that you don't belong it's the feeling of being observed but not approved and we don't have to live with that insecurity anymore because we are we have a seat at the table
",5,
