Fact Checked Claim Index,Podcast Claim Index,Fact Checked Claim,Podcast Claim,Stance Agreement
2427,7024666,“Registered Republican not allowed to vote.”," I think she is the top candidate that's running and I'm I'm registered as an independent voter. I'm not a Democrat. I'm not a republican when I got to register. Bag and whatever it was 2000 or 1992 I think is when I turned 18 they said what do you want to register as independent Democrat Republican or an independent? I said those are my three choices. I don't want a side myself with someone and have to vote whatever they say forever because I'm my own person
",5
15027,7272868,"The administration has issued rules for ""$1 abortions in ObamaCare"" and ""requires all persons enrolled in insurance plans that include elective abortion coverage to pay"" an abortion premium."," I mean Spider-Man and Family Guys says everyone gets one, you know, I mean, I. I think he just shirts. If you have to have an abortion insurance would pay for the first one and after that. It's up to you completely onto you. Yeah, and the funny
",5
3230,5829549,“Florida hospital reports a coronavirus ‘infestation’ with multiple confirmed patients.”," Now, what exactly is the selection bias is that people who are aware of these this coronavirus who are showing the symptoms which are not manageable anymore, which is about average which we think. ink is not bearable. Those people are themselves going and reporting to the hospital's there is there are a lot of other people who might have had who might are have been injected with coronavirus who still have this coronavirus, but I overcoming this overcoming in the cells. I have not shown that degree of this or disorders or problems is that they do not need to go and get themselves check. So all the statistic about people having coronavirus and being in the deadly State other ones who have just reported themselves and if that's the case, then there are lot of people in Wuhan itself who might have had this exposure to these virus strains but have had no problem
",5
9506,6725766,"Planned Parenthood is ""nothing more than a referral service. … They don’t do anything except profit from killing babies and then selling body parts of those aborted babies."""," And that fight is now more urgent than it's ever been. If you believe that birth control should be a right not a privilege if you trust women to make choices about their reproductive health. You support Planned Parenthood. They consider getting involved. Why do you think some people support a cause but don't take the next step of actually like getting involved
",4
3453,6674879,"Says Kobe Bryant and his daughter, Gianna, were both born Aug. 23."," And today I'll now that's life. We're going to discuss how we can live life to the fullest how we can deal with life's ups and downs and also cherish what we currently have. I'm always discussing this specific topic, but it comes at the wake of the death of NBA champion Kobe Bryant his daughter Gianna and seven other precious. Passengers that were aboard a helicopter in California this situation only makes it more clear something that we need to take more seriously more specifically the use of our time and our connections and how we can nurture all of those things to live life more fully. I'm a licensed clinical and school psychologist in the states of Texas and Louisiana
",5
5882,3623105,"""A majority of Americans now live in states where they have decided to legalize cannabis,"" including recreational and medical marijuana."," So there were I think like 90 thousand patients something like that in Illinois at the time before this opioid bill passed. Yeah, and then the opioid Bill stated that anybody with a prescription from to opiates within the past two years automatically qualify. Rise of cannabis card now, that means that you know, you have a City a state of 11 million people that's 1 million people now have access to a medical marijuana card. Let's say 5% of them decide to go in on it. That's $200 20,000 people that just immediately jumps up your patient count like 20 30 % you you see you go around Baltimore and you see obviously these opioids have affected so many people because you you walk down the street and you see these people who are strung out on these various drugs, and I don't know necessarily
",5
5303,3872998,"On investigating during the Supreme Court confirmation process, ""The FBI doesn’t do that."""," She's an institution and she did a series of stories and that finally ignited things there was political interests and there was a response from Chicago Police. They decided to assemble a task or detectives were being assigned to review these 51 murders of women. The FBI was consulted and. The FBI is participating in this task force. The superintendent of police Eddie Johnson has instructed that they attempt to review what evidence still exists to see if they can provide additional testing and ultimately it's a resource problem on all of the elements of unsolved murder that increasingly murders are unlikely to be solved and that's because
",5
9161,5645536,"""You've been tremendously deceived"" by people who say the Earth is not flat."," I'm going to be the reason why nobody wears number eleven again, you think he's just going to run that back and just, you know, change it to the Barclay Center and have a fucking Brooklyn Jersey on he probably could man. He's a weird dude. I mean, he thinks the Earth is flat and that's all you really have to say. You know, I should be out there. I should I should have just fucking let off of that
",2
3620,10982875,"Says Koalas are ""functionally extinct"" as bushfires in Australia continue to destroy their habitat."," We got one more mushy go into the motion. Yeah, so some really really really fucking shitty happen this. Last week all the koalas burned to death. I saw so many videos of people running into the Australian bush trying to save these just like I'm going to tell you rightly right now. I worked as a cruise director for a few years
",5
13864,12305557,Says she is a registered nurse.," I mean she well, I mean she what she wrote or she was writing a thesis and she didn't know how difficult it was for us as we felt for her to grow know her thesis was. On plant succession and basically how it goes mmm, but she she's grown plants. She's worked at nurseries. So she's been around all these different types of plants except cannabis. And now she's living in Colorado
",5
15916,2438106,"""Legally, it doesn't make any difference"" which state district you live in when running for Congress."," And in order to become a representative, you have to be at least 25 years old. You have to have been a citizen for 7 years and live in both the state and the area that you represent. So you can't like live in district one, but represent District to they frown on that right and then of course not commit any High crimes against the state. So that's a represents right? 435 big body lot of work. But these are supposed to be the people closest to us the the ordinary people and these are the ones that were supposed to have the most access to
",4
16103,952512,"Says there’s not ""much evidence to suggest that people have (contributed to global warming) or can do very much to change anything."""," Well, they do not they are able to measure the amount of Trapped gases in the atmosphere get that. Well, that would be more towards the ozone side, right? Yep. We're trying to prove global warming or not. We're not trying to prove mobile form. reduce the amount of emissions that trap gases in the atmosphere
",5
18344,8845148,"""Subsidies for oil and gas companies make up 88 percent of all federal subsidies. Just cutting the oil and gas subsidies out would save the U.S. government $45 billion every year."""," They had lots of oil wells and lots of refineries and fewer and fewer people to sell kerosene. So internal combustion engines were remarkably inefficiency because he'll whole lot of gasoline, you know in Canada, we pay something like think it's 3.3 billion dollars in subsidies to the oil company every year I mean. It's like a hundred bucks per Canadian every year just to subsidize the oil companies to make it cheaper. Just well, is it cheaper? I know but like why are we subsidizing it? Again? You'd have to ask a political expert cheese, but we've been doing it for decades
",5
11050,9062223,"Police in the United States are allowed to use tear gas even though it ""has been classified as a chemical weapon and banned in international conflict since 1993."""," I guess the family members are saying hey, we got to make sure we confirm that because we don't know if that's true, but it led to angry protests out in the streets of Memphis. I don't think there was any cop violence outside of you know, the original shooting but I do think Memphis guys were lining up and gals guys and gals men and women were lighting up and shooting their guns off in the air and screaming and throwing rocks and tree limbs at cops and you know, eventually it led to the. The police getting the right to have to bring the tear gas out. I mean there was a there was some live footage there of the protest going on. It was about as crazy as you would think it was so we'll wait and see more information come out but you know just here if you're in Tennessee in our state even if you don't claim Memphis the world's going to they're going to call it Memphis, Tennessee
",2
426,9667086,“You must give EVERY PENNY” of the advance child tax credit payments back when you file your 2021 taxes.," Why should this be that hard it really? Is that that hard?. Why not it took me up until two months ago?. I finally got child tax credit. I was been fighting that why I mean that yes, this is the were talking right now. And so two months ago is June 2019
",2
832,9075065,“Stanford study results” show face masks are ineffective and dangerous.," I'm gonna wear a face mask. I'm gonna wear one of those. No, you don't get to wear face masks. Nope, wha they don't wear face masks and baseball anymore. You're not you're not
",5
8980,11560395,"Banks paid Hillary Clinton ""over $1 million and are contributing millions more to elect her."""," A commercial when she was a kid and it was a dishwashing commercial and the in the commercial divers like well, no, it wasn't that but in the commercial Society women all over the world are upset because this dishwashing liquid isn't as strong and she wrote them a letter was like why is it had to be women? Why can't it be just people you better go grab at age 11 and they changed it to people all over America are upset. This bitch is a trailblazer. She had millions of the bank already, but. Before she met Harry and then liked them together their chemistry is like it's beautiful and I don't know. I just I am so obsessed with them
",5
11444,6637328,"Redskins is ""used historically"" as ""a term of respect."""," You know, I've been around Redskins fans most of my life and they are not the obnoxious of disreputable folks that we know Eagles fans to be I just I wish it was better for them. I really do it'd be nice to have more of a real rivalry at this point. But even now, you know Cowboys Redskins, we used to mean something. Around here at least in and it just doesn't anymore. They're just beaten down
",5
3237,6688453,Says California has a top income tax rate of 13.3% “and people aren’t leaving.”," On my way home as usual. You guys know how it is just finished listening to a video or watching a video from hey, Moran. forgive the noise in the background gentleman, that's a bumpy roads out here and till the California because somehow those taxes don't seem to do what they need to go, you know, imagine that shit, but. Anyway, so there's some side streets and do a little talking. So like I mentioned
",5
3178,11800711,The coronavirus is “simply the common cold.”," This past week one last couple weeks. I guess is become a big thing. But the Corona virus has become prevalent. And as you all know we go to Grand Canyon University and next to us is Arizona State University where two cases of the Corona virus has broken out now. Is that cause for concern?
",4
15286,10527695,"AIDS was transmitted to humans because ""one guy"" had sex with ""a monkey"" and then started ""having sex with men."""," At least we're going to move on to the next section of our podcast which is called us. We were taking questions and that common misconception QR code exam and we'll just ask your opinion about it. So for one HIV was acquired by humans in the eating monkey brains that now I'm gonna no no. No, I'm off that. All right in the context the first isolate as far back of the IV HIV isolation that spec as far back as 1959
",2
9469,546899,"""There have been more than 300 mass shootings in the United States this year – more than any other country in the world."""," Alright, so today we just want to touch base on mass shooting and particularly to the El Paso Walmart shooting is like I was I was telling Larry earlier, you know, it's been a lot of shootings in America. I think I see now. It says like America has the most mass shootings. And in that it's not terrorism friend Indians Muslims black people or Mexicans. They're all sigh Cajun men
",1
10062,2746829,"""During Obama's first five years as president, black unemployment increased 42 percent. During Reagan's presidency, black unemployment dropped 20 percent."""," I'm a could go on and on them and GDP growth. It was abysmal and this country, you know, you're a point eight percent point nine percent GDP growth under under Obama. You had 10 plus percent unemployment During certain periods of time under under, you know, under Obama and look at it. Today wages are growing the fastest I've ever grown unemployment the lowest it's ever been female unemployment's you know, if the bestest ever ever been the same with Hispanic and African-American and you know, I could go on and on consumer confidence is through the charts for one case or are off the charts. I mean, they literally doubled in value for one
",2
19952,9515886,"""If we manufactured 5-million of these 2.5-meg windmills across the country, we could electrify the entire nation — the entire nation."""," What is best idea what is the idea that will ruin the day? And that doesn't mean that I my idea may be better or Mina's will or Willie's will but then what may be best is that we combine them somehow so that's what that's what the whole point of this podcast is about and I do want to discuss that I do feel like windmills one. Yes, they can be dangerous depending on the size on the area, too. Money, how are we going to be able to put for windmills on every single person's house in urban areas. Think about this like Apartments apartment buildings have to have like a ton of windmills on top or just one huge windmill in the city, but that can also be dangerous due to yeah wins curving around the city streets fun thing. Can you imagine just a giant windmill collapse? So what we could do is I was thinking about this is we last we have nuclear
",5
1027,11991562,"“Next week has a time change, full moon and Friday the 13th.”"," With your host gay Voice number one give us a number 2 and today my rant of the week is not really a rant. But for all my teacher and nurse friends out there who are in those fields. I don't know if you guys know this but this week we both have to deal with not only Friday the 13th, but also full moon. So if you've ever been into teaching or nursing or any sort of related field, you wouldn't you will get what I'm saying when I say that. I am thinking of all of you and praying for all of you because it has been the week hasn't been crazy and funny enough me and my co-workers were talking today about how it's been real
",2
9801,2108639,"Planned Parenthood is ""the only health care that a significant number of women get. About 30 percent of women, that's their health care."""," They felt like they won. Yeah, and this is the one I'm like geo-locating where I live or live by you gotta it's insane. It's the only yeah, it's the only Planned Parenthood in st. I um, maybe even the state I don't think the state but in the city at least that offers abortion services, not that I needed it today, but if I did I would have had it. I mean if you did or if you did
",5
16202,7476226,Says his Twitter account has 1.3 million followers.," He's Danny Hernandez a young kid making deli sandwiches in Bushwick the next. one knew his trademark tattoos and rainbow hair. He had 15 million followers on Instagram. He collaborated with superstars like Nicki Minaj Kanye West 50 Cent and Young Thug. And then only one year later
",5
11960,1567683,"NFL ""players are living, on average, longer than the average male."""," I mean incredible to be playing and if Ellie only playing 16 except 20 games, but I think over how many well I have to figure out the math / / how many months / because you go to work every day and you go to work and practice are a lot more intense it is it is almost a half a year, but it's close its close to practice in general even pre-seasons and and training camps are still much more intense than they aren't and and baseball not that's not hard Base by mopping my the level of difficulty right? I'm talking about the level of contact, right? So my the point I'm trying. To make is I agree. I hear what you're saying that there is a longer season but at the same time the risk that the NFL players pose possessed when they play in the league is incredibly High the average lifespan of an American is seventy seven point six years the average lifespan of an NFL player is 55 years. That's over 20 years less. It's an incredible risk
",4
10228,7146766,"A school uniform policy helps with ""school safety, helps with truancy."""," Okay, this baby got a record is six years old and six in a no way check in on y'all kids again check. What they were there. Their policy is at the school. It could have been it couldn't be one of mine and I'm a mother listen. I got twin girls let one of these motherfuckers have tried it
",5
17470,1637524,"In 2007, ""the top 1 percent of all income earners in the United States made 23.5 percent of all income,"" which is ""more than the entire bottom 50 percent."""," But if you're on settling in Australia, you're in the top 40 percent richest in the world. Well, yeah because I know two-thirds of the Planet live on less than two dollars of. Yes, I so that alone is around about the numbers you're talking about and ideally in the top 1% you're on the after have earning a $400,000 a year. Yeah 400 on what a net worth of 400,000 be in the top 1% and everyone's like I want to be a millionaire and millionairess successful, but actually it's not reality. Yeah, which then makes you then if you're not a millionaire makes you feel really bad about your business, but actually could have an amazing business that's actually really profitable and changing lives
",5
6460,3343655,"""Ninety percent of people born in the 1940s ended up doing better financially than their parents. But those born in the 1980s, the much-maligned Millennials, have only a 50-50 chance of doing better (financially) than their parents, despite being the best-educated generation in our history."""," We think it's going to be a downturn in the cycle. Yeah, you brought up a good point about technology being deflationary and cheap money actually being deflationary in a sense. I saw a good article talking about Millennials and it could be other, you know, older Generations as well, but people being subsidized their. Is being subsidized by VC? So they take an Uber to work and it cost, you know, maybe seven or eight bucks or or 10 bucks and then they get a delivery from Blue Apron for you know for their dinner later that night that's a 15 dollar cost or whatever and you can see a Casper mattress or whatever and not just a single out these Brands specifically because there are others too, but it's interesting because maybe when you when you actually. Ali look at the real costs of without all the VC subsidy, it could be double or triple or much more than that
",5
11421,10058283,"""Right now, America has $1.1 trillion of student debt. That’s more than credit card debt."""," There's kids that are back in turned instead of going to college and. And they have jobs now and then these kids that are like I went to Harvard and I'm like working at Barnes & Noble. Yeah, it is like I mean College debts in its trillions. It's bigger than credit card debt in America on it. It's got to a point to where like, you know, this the system was supposed to get you a job
",1
16135,7061788,"Says ""under our current sentencing laws, about 75 percent of all convicted felons in Oregon do not go to prison."""," They were people who are dealt like the shittiest hands. You could be dealt. I read a quote or a stat a while back that said like 80% of convicted felons. Lines were abused as a child 80% Yeah, these are people that you could say. Oh all they need to do is just work hard like a we worked hard and they can have what we have and that's complete garbage
",5
6511,2679458,"The Obama administration ""borrowed more than $10 trillion, right? And yet, we picked up $5.2 trillion just in the stock market. ... Maybe in a sense we’re reducing debt."""," New debt, but the government also wants to increase their spending. So they've got a bunch of debt to do and their debt behind on the debt payments that they have. So there's six hundred billion of new debt to be issued between now and the end of the year that is basically sucking money out of the system because the treasury or the Federal Reserve are essentially issuing bonds and taking dollars in return. So what's happened is this started this week and there was some other other issues to do with corporate tax. Paints and stuff, but basically the issue is is it's the oh shit moment that six hundred billion dollars and we've only just started the first time money came out and was like, it's impossible to get funding
",5
16878,11802067,"Abortion services are ""well over 90 percent of what Planned Parenthood does."""," And I was like, oh, that's great. I was I was actually pretty cool to like ear my doctor basically say like, oh no, this is the best place for that. You know, and that Planned Parenthood is a trusted source for abortion care for Women's Health. And so I made an appointment at the Planned Parenthood in Pasadena grew up driving by all the time because you know, I'm from. Los Angeles and the only did abortions on Friday
",5
6211,7844990,"Says Donald Trump's use of the term ""fake news"" to undermine journalism ""seems (to have) inspired dictators and authoritarians."""," The virality of the story was cloaked in irony due to the fact that the real story was almost the opposite of what had been reported. This is one of thousands of examples of so-called fake news easily found online. These days fake news is often used to dismiss stories that people don't want to hear but during its conception fake news referred to articles which contain politically-motivated fiction lies written with the intent of manipulating. Join us fake news operates and spreads by appealing to our emotions to our preconceived beliefs and biases but some fake news out. There is more an Oculus confusing even lottery winner arrested for dumping $200,000 of manure on Xboxes
",4
4066,10353147,Say Jeffrey Epstein is not dead.," My favorite favorite one was old the two favorite ones. I saw was a Missy Elliott one and it was like in the part that she says backwards. They just like flipped Jeffrey Epstein didn't kill himself. Oh, here's the other down billionaire ruling class. So I got banned from posting on Facebook this week because I I heard I'm
",5
19647,3679170,"Obama's wife said her goal in life was to put the black community ""first and foremost."""," For example, we just saw how Candace Owens claim that racism didn't exist in her life until Obama took presidency yet. She filed a racial discrimination lawsuit. 2007 which was prior to Obama's presidency and indicating that indeed racism was a fundamental part of her life as a black woman. Also if many people are familiar with Jesse Lee Peterson than you know, Jesse Lee Peterson a white supremacist collaborator one that I've debated multiple times. Claimed many times that racism doesn't exist
",5
19684,10958866,Says she is the subject of 60 books.," Rebecca is a psychologist a jungian. She's involved with art therapy. She's written six books. We're going to talk today about the mind about Carl Jung about depression and about shame. It's a lot to cover view back at you think we can do it
",5
13864,10717107,Says she is a registered nurse.," I guess it is. It's it's cause and effect right is it that they are much more there are people because my mom's a dream when she went to the hospital for the first time she saw Dan us as well. She wanted to be a nurse. I'm like who says that she's like so nice why you get the help people and you get the one hospital. So I think it's like cause and effect like you have that sort of personality and that's why you want to be in that line if you ever sat down and
",5
15971,2679637,"""We have 10,000 baby boomers retiring every day."""," Is now going to Peak retirement. So the chances are the next time around the next recession, which I think we're walking right into I think the next recession the stock market doesn't recover because the natural bar of the stock market and this does a part of the Bitcoin Sauron is the natural part of the stock market would. Be the baby boomer, but they've all retired. So their natural Sellers and the Millennials don't have any stocks and they're too expensive. Yeah, we don't really money for that to me know
",5
8558,10102008,"Virginia’s banning of felons from voting is a ""Jim Crow-era law."""," I read a few years ago that our election system is sufficiently fucked up that the Jimmy Carter Foundation that specializes in going to countries and helping them establish Democratic elections. We don't meet the minimum standards are being assisted know and we recently reversed some oversight in southern states to make sure that they're not, you know in acting. Jim Crow laws to prevent African American people from having access to the ballot. So support the candidate that you care about completely absolutely what actually matters is making sure people get their votes counted that people show up to vote in their vote gets counted work on that stuff. So, how's it every appraisal? Yeah, where we going with this? Here's what matters what matters is that people are showing up if you are engaged in the primary electoral process
",5
5917,2141923,"""Actress Emma Stone: ‘For the first time in history we have a president that…"""," You're just like I'm one of the most famous elegant gorgeous people in the world and I have to walk by a bunch of losers who are paying money to mess around. I don't think so. Speaking of Emma Stone. Aye I have to also get something else off my chest. A lot of people are calling out bad behavior right now
",5
14432,4378111,"Toothpaste contains ""the poison substance of fluoride."""," No and I think great do that purposely. Oh, yeah fluoride is not not good for the body at all. No, no, but yeah, we brush our teeth with fluoride toothpaste, right? Yeah. Yeah, but I don't know I don't and I don't plan on all day when I grew up. That's what the shit was
",1
4043,10998954,"In Australia ""they went and confiscated all the guns. You know who did what Australia did? Venezuela."""," It's very possible at this point. It may have been possible, you know at a point earlier on but now it's not possible like countries that are much toward that like that are rated be much safer than America like Australia or Japan there crime rates are so low because people don't have access to weapons. Insisting they do here like Australia bought all of the guns from the citizens. They didn't try to take them because you know, that's a violation of constitutional right in America, especially they just bought them, you know, that's why you don't have any weapons to police have weapons sure. But you know, you never hear anything about police officers just going around shooting people Nobody Does that no except the black people
",4
9196,9921270,"Martin Luther King Jr. ""was a Republican."""," While most of us enjoy a day off in dr. King's honor it is so much more than that to his family and to the many that he's so valiantly fought and ultimately died for let's take a small look at a very big figure in American history. Martin Luther King jr. Was born on January 15 1929 in Atlanta, Georgia. He was the second child of Martin Luther King senior a pastor and Alberta Williams King a former school teacher
",5
