Fact Checked Claim Index,Podcast Claim Index,Fact Checked Claim,Podcast Claim,Stance Agreement,
15825,627856,"Says Anthropology is a STEM (science, technology, engineering, math) field."," Most anthropologists are cultural anthropologists, but broadly anthropology as a discipline. Also is it thinks of itself as having four fields and includes cultural anthropologists who are probably 70 or 75% of the Anthropologist at least in the United States anthropological linguists archaeologists and biological anthropologists. So that's sort of the lay of the land of anthropology as a profession within cultural anthropology. There are different groups or tribes and I suppose my main tribe would be called psychological anthropology. It's a tradition of anthropology that goes way back but is interested in similarities and differences in psychological or mental functioning of peoples in different historical ethical Traditions or cultures or cultural groups
",2,"Podcaster makes reference to ""biological anthropologists"". "
13864,7631262,Says she is a registered nurse.," Across the studies give pretty good confidence to the results. So what happened with my mom? Well, it turns out that the surgeons had her Hospital weren't particularly interested in operating my sister came to the rescue. She's a scrub nurse at a different hospital. She called her favorite surgeon and we ended up transferring my mom to the other hospital where she had her surgery and has done very well ever since then excellent. And so we have a little real live application of this
",5,
1329,6004641,"Says Joe Biden is on video ""admitting to"" election fraud in a ""confession."""," That they personally care about that. He tells I don't know that he doesn't I just want to know if they've considerate it's like literally nothing it has considered it. He is truthfully I mean and I hate saying this because I don't have anything against Joe Biden at all, but the reality is like he wrote the crime Bill and some of the things that he said during the course of this campaign have been frankly troubling like at least the biggest Hillary Clinton actually apologized for her role in the crime Bill. Biden is still like nah, I was good. It was like wait what? Yeah Bernice
",5,
2010,6853216,Students no longer say the Pledge of Allegiance in schools.," So the banks will be closed. Caused no mail will run and in the last episode. I forgot to mention at school that we always do the Pledge of Allegiance. In the morning over the loudspeaker. Someone will come over and say please rise for the Pledge of Allegiance and everybody in the room almost everybody in the room the vast vast majority of people in the room and the classroom will stand up put their right hand over their heart and say the Pledge of Allegiance
",3,"Podcaster claims ""at school we always do the Pledge of Allegiance"". "
16754,7121776,"""China now owns $1.1 trillion of our debt, our trade deficit last year with them was a quarter of a trillion dollars."""," China's going to start a war because they're going to want their money, but that I don't know that that's in line with reality because China's debt to GDP is higher than ours. Like it's not like, you know, if the US were to default on all their debt tomorrow and say okay, we're just starting over we're going to do a Currency Reset and all this debt is just forgiving there's it's more interconnected than that. China's not gonna be like, whoa, you're gonna give us our money like we own China's debt to and the vast majority of our debt is actually owned by. Private holders like something like 40 something percent of federal debt is owned by private investors. It's not owned by China
",4,"Podcaster claims ""our debt... It's not owned by China"" "
10595,2534652,"Unlike marijuana, medical cannabis oil cannot get you high."," Let's use the economy. Well, like hemp and marijuana different things but totally different plan Oh, I thought this implant female-male I thought yeah. Well anyways, obviously like medical marijuana has all these amazing qualities So that obviously. Armed the pharmaceutical industry which is a multi bajillion dollar industry, you know, and then yeah if we're it threatened Cornett threatened like yeah everything so I can kind of understand that I mean, I think we've all seen like the documentaries like what the health where you realize how much involvement these huge Industries have and like every day everything everything. Yeah, so it's like scary
",5,
13030,6674040,"""Science has not shown greenhouse gases to be a problem."""," There are many examples of this including increasing insulation in homes using LED light bulbs instead of halogen bulbs and switching off electrical devices instead of leading them on standby, finally carbon capture and storage. You can collect the CO2 given off when fuels burn and store it underground. However, there are some problems that make the reduction in greenhouse gases difficult, which include scientific disagreement not all scientists agree that a. missions of greenhouse gases cause climate change cost many methods of reducing carbon Footprints and more expensive than doing nothing lack of international agreement. Some countries have not agreed to reduce their carbon footprint population and lifestyle changes as the world's population increases and lifestyle develops
",2,"Podcaster claims ""not all scientists agree that a. missions of greenhouse gases cause climate change"""
7497,10527461,"Tuberculosis recently passed ""HIV/AIDS as the leading infectious killer globally."""," It's actually my interest in South Africa and koalas Rule and in 2006. That's when you may have be a way of the outbreak of xdr-tb, which is highly resistant drug-resistant TB. Of co-infected with HIV individuals actually died from this particular resistant tuberculosis very very quickly and unfortunately during that period of time okay about three healthcare worker also acquired infection. So what's actually true that experience in Kuala zululand that I developed an interest is really from into drug-resistant TB, although I had we had an interest in TB and HIV is as far back as. during my registrar training days
",5,
13413,10253897,"Says since Australia passed tough gun laws, ""homicides by firearm have declined almost 60 percent."""," So it's in the it's in the DNA of the country. And so going back to your question from a while ago in terms of Australia. Australia doesn't think that way for better or worst call it what you want or how you know how the country was born or how the kids are raised or what the laws are but we don't think in terms of what if someone like they did it they came and got the guns after there was one of the biggest mass shootings in history. And the government came a week later or whatever it was said well, okay, but here's the deal. We're taking the guns
",6,
10421,10841840,"The children coming across the southern U.S. border ""were never examined after they got here and quarantined if they had a disease. They were just sent out across the country. Many of them had measles ... We now have an outbreak of it all because of our immigration policy."""," from the face of the planet. I'm Flora Lichtman and this is every little thing from gimlet media. Measles may not seem like a big deal here in the US because after the vaccine was developed in 1963 measles infection started to drop by 2000. It was basically gone and now it's big news in this country when several dozen people get it. The measles outbreak in the state is growing 44 people sick in Minnesota
",5,
