Fact Checked Claim Index,Podcast Claim Index,Fact Checked Claim,Podcast Claim,Stance Agreement
4674,5968721,"""A black woman in New York City is 12 times more likely to die in childbirth than a white woman."""," You can look at back to the point. We're making about it disparities around education. You can look at Health outcomes when you know that black women are three to four times more likely to die in connection with childbirth. So there's a lot that has to be about looking at this in a way that is about structural and systemic investment in communities and it can't and so the way that that's why I'm reluctant to have a simple answer to because frankly, I don't believe that writing a check is going to be enough. I really don't and and the worst thing that I think
",2
1409,5123533,“21% of people are having serious adverse events from (the Moderna) vaccine.”," We will be discussing vaccines a super controversial topic right now with the rise of the vaccine hesitant population little foreshadowing for what's on the agenda. We're going to be discussing a little background to Immunology how vaccines work types of vaccines and then getting into the the good stuff where we talked about common.Miss misconceptions and popular complaints made by the vaccine hesitant population and diving into the research the data the facts that support why those things are not true. And yeah, I'm really excited to be here with you all today just a little order of business before we get started. This is not medical advice and by listening to this podcast you agree to not use this podcast as medical advice to treat any medical condition in either your
",5
6490,9083428,"NFL players taking a knee during the national anthem is ""against the law."""," But even I know what they're doing to Muslims in China sure and I don't know if Steve Kerr knows or not enough magic. He probably does I would imagine he probably does I would also say that we always say we should listen to our employers right like that was. Everyone who said put NFL players should kneel for the anthem was like the owners don't wear them to the owners write the check. So the boss listen to them. Listen to the leak
",5
18470,6834159,"Georgia has ""a dropout rate that’s higher"" than Alabama's."," We'll fix them off. They just had to buy they should come back a lot better. And again any of this can change Alabama could beat Georgia twice. I wish you could lose the Florida you never know and then that could open a slot to Oklahoma for a big 12 team and you never know if Wisconsin wins the Big 10, they could be in over Ohio State or not. A big 10 team could be in
",5
11836,2014656,"""Over the past three years, ‘deep poverty’ has reached its highest level on record."""," Like period poverty loss. Well, how many more but poverty deep poverty that yeah. Yeah deep poverty will not even deep because I feel like I'm not even that deep in poverty like compared to like how deep you could really be in poverty. Yeah, so could be worse because either way yeah 750 an hour weeping out of poverty escaping trying to escape our be I mean, we're still in poverty, but we're yeah, we're poor but you get that first check. I'm dead-ass going to feel rich
",5
9208,4982021,"The United States has a ""record number of abortions year after year after year."""," But there is a deaf still happening and that is with the child. Here are some of the statistics of abortion if you don't mind from 1973 from 2011. Can you see that from 1973 through 2011 nearly 53 million legal abortions. 53 million legal abortions occurred in the United States. among married women for percent of pregnancies currently in an abortion among unmarried woman 27 percent of pregnancies end in abortion women in their 20s accounted for the majority of abortion in 2015 and had the highest abortion rates adolescents under 15 years old obtain point zero three percent of all 2015 abortions women aged 15 to 19 years accounted for less than 10%
",5
3683,10497231,"Says Nike pays factory workers, 80% of whom are women, ""20 cents an hour"" and has them work ""70 to 80 hours a week."""," Anger concentration in top 10 grossing titles and they got a little bit better and I'm not sure what that what the current you know state of the market is with with respect to concentration based upon Fortnight. But yeah, so it would have been nice to see that data his second prediction. I think depends from my perspective working for a Nike company. I hope it's true. But if we're talking from, you know from an installs rather than Revenue perspective certainly hyper casual games
",5
11701,7365480,Women in the U.S. get 23 percent less pay than men for the same exact work.," So while the winners of the women World Cup took home four million. Wes dollars, and this is when it has doubled compared to the last time the men took home 38 million dollars last year US Dollars last year. So there is clearly a huge gender pay Gap in the workplace. I have observed that women are often not considered for roles that are considered more challenging so roles that might involve a lot of strategic decision-making or might require a lot of traveling or traveling to difficult locations. Changing base locations many times women are just not considered for jobs, which might require them to change cities
",2
11421,4090298,"""Right now, America has $1.1 trillion of student debt. That’s more than credit card debt."""," if yeah, if the school were to give them the option to take all of their scholarship money, that would be absurd that would just be unheard of you don't give the 18 year-old an opportunity to take all of that money that they are getting for scholarship and take it then and there because there is still the chance that they could have a career-ending injury happen in college and then they are able to play at the professional level and make the millions of dollars that they. We are going to make but they took all their scholarship money and they blew it. And so now they have 30,000 in student debt. Yeah, I don't know there's that also I've seen an argument that like you don't give them paychecks until their sophomore year to prove that they are wanting to actually be student-athletes. Oh, no, it's not to worry about the whole one and done thing
",5
12778,4133534,Women in the United States are paid about 70 percent of what men earn for the same work.," Otherwise don't miss out on opportunities that come your way. She said put yourself in a position to have those opportunities know when one is facing you and take it the mindset of equality as a reality a recent study conducted by the. Research Center found that in 2018 women earned 85 percent of what men earned based on an analysis of the median hourly wage for both part-time and full-time work in 2017. The US Census Bureau found that women aren't 80% of what men earned when analyzing full-time wage data many women have felt the effects of the gender gap during their careers whether it was a pay dispute a lost promotion or just a snide comment from a. Coworker even if your work environment Champions equality, it's not uncommon to encounter people who have faced some kind of discrimination subtle or not because of their gender
",2
12899,2634067,"""The average student comes out of college hundreds of thousands of dollars in debt."""," But when you see all of your own individual math, you might discover that not only is a possible for you to buy a home while you still are paying off your student loan, but it might be financially prudent. I said prudent deal with it. So if your parents attended College, they probably did not graduate with a ton of debt if any but as of today 70 percent of college graduates have some sort of student loan debt and the average debt is about 38 Grand. I know a lot of you out there have student loans that are way bigger than that. I'm just telling you what the average is
",3
16202,6886861,Says his Twitter account has 1.3 million followers.," I don't know what his actual numbers are in terms of his his viewers and stuff. But to me looking at the surface of this this looks like a pretty good deal for for both of them, you know, ninja has an audience that is so absurdly large. He has 20 million followers on YouTube at least like 10 15 million on Instagram. How did it is multi multiple million on for. Twitter of course is Twitch like this audience is bigger than just it's so mainstream and also so targeted to gaming like think about his audiences
",5
2284,4501728,"“The retail market we participate in is extraordinarily large and competitive. Amazon accounts for less than 1% of the $25 trillion global retail market, and less than 4% of U.S. retail.”"," It's not Target Believe It or Not Target did not even survive in Canada for maybe two years or less than two years and they were gone. It's not any other retail chain that you can physically visit. In fact, it is the modern leader the giant of online shopping Amazon that is taking everyone else's market share and growing at a rapid speed. All you sales tell us to think about this. Why is Walmart losing to Amazon?
",4
178,11369878,Photo shows Rihanna is pregnant," Um, there was an idol from newest and that just had a baby and he gets a former newest member and then who else is pregnant. There's a female and a former still kind of idle. She's pregnant to she just posted an update picture. I don't know me nuts. All right, but I can't remember that
",5
14413,9929728,"The health care law could cost up to $2 trillion, ""double what we were promised."""," The following is a short list of Irish shared expenditures as a society. The total cost and the cost per citizen. We spend two point seven trillion dollars for healthcare 9090 dollars per citizen per year. We spend over 1.4 trillion dollars on crime 4713 dollars per citizen per year
",5
12448,3979152,"Only ""four countries in the world… allow abortions after 20 weeks"" of pregnancy."," But how can we Define that what we think is right and what others think is wrong in the law like the people who make the law how can they say that this is right and the other things were wrong? Yeah that actually reminds me of another case. So a particular country. I'm not quite sure in which country but they had abortions. So abortion was banned and there was a woman who had immigrated to that country and accidentally became pregnant and after that she went for medical check-ups, but found out that if she gave birth and she was incapable to give birth. She was medically incapable and this was diagnosed professionally by doctors
",5
3602,5106078,"""When Jesus was falsely accused of treason, Pontius Pilate gave Jesus the opportunity to face his accusers. During that sham trial, Pontius Pilate afforded more rights to Jesus than the Democrats have afforded this president in this process."""," Jesus died by crucifixion and was buried in a nearby tomb there are contemporary historical accounts to support the idea that Jesus was executed by the Romans. Now let's look at some of the features of the Jewish betrayal of Jesus. We know that Pontius Pilate condemned Jesus to death by crucifixion. The Pontius Pilate was the Roman governor and at the Jewish Council convicted Jesus of blasphemy. And to recap that once more what did the Jewish Council convictions herself?
",5
1771,7028299,Says “we will know which candidate you voted for.”," What I don't want is I don't want people who are talking about Camilla Harris to suddenly be like, have you heard what Camilla Harris has to say?. Yeah, I have heard some what she has to say, and I'm not on board. I want to hear what my candidate has to say now. That's not to say that I don't also want to hear who's in opposition. I'm not totally against Donald Trump being president
",5
3536,3862629,Says guns are required to be registered.," The icrc hasn't been verified any of that platform or training route. Soda pop has a register doesn't contain any one who's competent to do. I see ours in that it wasn't required to be registered. That's that that Port of people would be not suitable. If you are we can't hear me
",5
11174,5570495,Says John Cornyn dodged the draft during the Vietnam War.," So I was sort of our jumping-off point for this to our story today. Yeah, I you know a lot of. a lot of a lot of people famously dodged the draft by going to Canada right? Give me the Vietnam War draft. I was on a fishing trip in Canada. When war broke out, what are you doing? Yeah, and I didn't know what I didn't understand is that
",5
14134,2524720,"There has been ""$5 trillion in debt added over the last four years."""," I to the balance sheet or the liabilities. They come the key thing. That sticks out is eight point six billion in debt. Now, they've increased debt quite significantly over the last few years. I do not really like to see that but there's clearly no Financial issue with a company
",2
